priority,category,dataset_name,claim_link,access_type,landing_url,download_ready,playwright_needed,owner,notes,request_status,request_channel,requested_on,response_due,received_on,security_level,legal_basis,sample_schema_needed,time_granularity_required,contact_org,contact_person,contact_email,data_format_preferred
2,grid,계통_고장_제약_이벤트로그,"주장1,5",institution_request,협조요청,no,no,KPX/KEPCO,고장 및 제한운전 이벤트,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,KPX/KEPCO,,,csv_or_parquet
2,grid,예비력_유연성자원_가동로그,"주장1,4",institution_request,협조요청,no,no,KPX,제약 원인 분해용,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,KPX,,,csv_or_parquet
1,generation,발전소별_실발전량_계량데이터,"주장3,4",institution_request,협조요청,no,no,발전사업자/KPX,손실 실측 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,발전사업자/KPX,,,csv_or_parquet
1,generation,발전소별_잠재발전량_추정데이터,"주장3,4",institution_request,협조요청,no,no,발전사업자/EMS,못판전력량 산정 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,발전사업자/EMS,,,csv_or_parquet
1,generation,발전소_메타데이터_용량위치접속점,주장5,institution_request,협조요청,no,no,발전사업자/개발사,자산 단위 리스크 분석,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,발전사업자/개발사,,,csv_or_parquet
2,generation,고장정지_유지보수_이력,"주장3,4",institution_request,협조요청,no,no,발전사업자_O&M,원인 분리 통제변수,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,발전사업자_O&M,,,csv_or_parquet
2,generation,인버터_PCS_제한설정로그,"주장3,4",institution_request,협조요청,no,no,발전사업자/제조사,인위 제한 구간 식별,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,발전사업자/제조사,,,csv_or_parquet
1,market,발전사업자_정산원장_SMP_REC_계약단가,"주장3,4",institution_request,협조요청,no,no,발전사업자/중개사,매출손실 정량화 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,발전사업자/중개사,,,csv_or_parquet
1,market,PPA_계약조건_단가시간대패널티,주장4,institution_request,협조요청,no,no,PPA중개사/사업자,대체수익 시나리오 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,PPA중개사/사업자,,,csv_or_parquet
2,market,보조서비스_DR_참여정산자료,"주장4,6",institution_request,협조요청,no,no,KPX/중개사,다중 수익원 모델링,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,KPX/중개사,,,csv_or_parquet
1,flexibility,ESS_운영로그_SOC_충방전_효율,주장4,institution_request,협조요청,no,no,ESS운영사/EMS/BMS,수익화 실증 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,ESS운영사/EMS/BMS,,,csv_or_parquet
1,flexibility,DR_호출_참여_이행로그,"주장4,6",institution_request,협조요청,no,no,DR사업자/KPX,피크 완화 효과 검증,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,DR사업자/KPX,,,csv_or_parquet
2,flexibility,EV_충전부하_시간대별,주장6,institution_request,협조요청,no,no,충전사업자,유연성 수요 후보,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,충전사업자,,,csv_or_parquet
2,flexibility,열저장_냉동부하_제어로그,주장6,institution_request,협조요청,no,no,산업체/빌딩,산업 유연성 모델링,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,산업체/빌딩,,,csv_or_parquet
1,connection,접속신청_대기_반려_지연이력,"주장5,6",institution_request,협조요청,no,no,KEPCO/개발사,입지 리스크 검증 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,KEPCO/개발사,,,csv_or_parquet
1,connection,변전소_선로_혼잡_역송전_이벤트,주장5,institution_request,협조요청,no,no,KEPCO,지역 제약 스코어 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,KEPCO,,,csv_or_parquet
2,connection,인허가_파이프라인_착공준공_지연이력,"주장5,6",institution_request,협조요청,no,no,지자체/개발사,공급 증가 시점 예측,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,지자체/개발사,,,csv_or_parquet
1,demand_policy,산업단지_공장_시간대별부하,주장6,institution_request,협조요청,no,no,KEPCO/산단공/수요기업,정책형 밸런싱 검증 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,KEPCO/산단공/수요기업,,,csv_or_parquet
2,demand_policy,입지이동_신규공장_증설_위치이력,주장6,institution_request,협조요청,no,no,산업부/지자체,인센티브 실효성 검증,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,산업부/지자체,,,csv_or_parquet
1,product_roi,고객_제품사용로그_조회경보실행,주장7,institution_request,내부시스템,no,no,내부데이터,행동 데이터 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,내부데이터,,,csv_or_parquet
1,product_roi,고객_KPI_전후_손실률매출대응시간,주장7,institution_request,내부시스템,no,no,고객협업데이터,ROI 증명 핵심,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,고객협업데이터,,,csv_or_parquet
2,product_roi,계약전환율_이탈률_ARPA_월별,주장7,institution_request,내부시스템,no,no,CRM/Billing,사업성 검증,ready_to_send,email_or_mou,,,,internal_confidential,연구/정책검토 목적 데이터 협조 요청,yes,dataset_specific,CRM/Billing,,,csv_or_parquet
